Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-07-19,CO,16.0,76.0,3.0,14534.0
2020-07-19,CT,28.0,81.0,3.0,17861.0
2020-07-19,DC,8.0,4.0,0.0,1948.0
2020-07-19,DE,12.0,21.0,2.0,3455.0
2020-07-19,FL,1796.0,551.0,197.0,63976.0
2020-07-19,GA,510.0,227.0,84.0,29174.0
2020-07-19,GU,0.0,0.0,0.0,11.0
2020-07-19,HI,8.0,16.0,0.0,3405.0
2020-07-19,IA,120.0,127.0,19.0,21356.0
2020-07-19,ID,47.0,14.0,1.0,3816.0
2020-07-19,IL,149.0,319.0,38.0,58527.0
2020-07-19,IN,93.0,232.0,63.0,34798.0
2020-07-19,KS,37.0,94.0,4.0,16018.0
2020-07-19,KY,111.0,123.0,32.0,21115.0
2020-07-19,LA,509.0,195.0,108.0,22724.0
2020-07-19,MA,20.0,126.0,18.0,30279.0
2020-07-19,MD,191.0,156.0,21.0,20145.0
2020-07-19,ME,11.0,50.0,5.0,5417.0
2020-07-19,MI,82.0,422.0,12.0,32587.0
2020-07-19,MN,40.0,132.0,12.0,21272.0
2020-07-19,MO,204.0,212.0,27.0,35454.0
2020-07-19,MS,275.0,106.0,53.0,14013.0
2020-07-19,MT,0.0,15.0,0.0,3685.0
2020-07-19,NC,265.0,179.0,34.0,33525.0
2020-07-19,ND,4.0,24.0,1.0,4927.0
2020-07-19,NE,21.0,78.0,5.0,10209.0
2020-07-19,NH,1.0,39.0,2.0,5668.0
2020-07-19,NJ,60.0,176.0,46.0,33556.0
2020-07-19,NM,79.0,42.0,22.0,4844.0
2020-07-19,NV,69.0,22.0,3.0,5007.0
2020-07-19,NY,136.0,420.0,17.0,87119.0
2020-07-19,OH,326.0,370.0,44.0,64857.0
2020-07-19,OK,106.0,98.0,14.0,16765.0
2020-07-19,OR,25.0,68.0,5.0,6673.0
2020-07-19,PA,312.0,893.0,54.0,65885.0
2020-07-19,PR,1.0,0.0,0.0,95.0
2020-07-19,RI,9.0,25.0,7.0,6242.0
2020-07-19,SC,430.0,170.0,57.0,15441.0
2020-07-19,SD,16.0,31.0,2.0,5284.0
2020-07-19,TN,175.0,159.0,22.0,24839.0
2020-07-19,TX,2088.0,712.0,331.0,81550.0
